ID,Player,Age,Variant,Numbered,Autograph,Relic,Grading Company,Grade,Number,Set,Comments,Loc,Photo?,Photo taken ?,Photo reference,Added to Collection?,Photo added to Collection?,Search term,Exclude from ebayCollectionUpdater
1351,Thierry Henry,,Base,,,,,,77,2006 Futera Unique,,,,,,,,,
1352,Patrick Vieira,,Base,,,,,,64,2006 Futera Unique,,,,,,,,,
1353,Xavi,,Base,,,,,,65,2006 Futera Unique,,,,,,,,,
1354,Bastian Schweinsteiger,,Base,,,,,,92,2006 Futera Unique,,,,,,,,,
1355,Gianluigi Buffon,,Base,,,,,,2,2006 Futera Unique,,,,,,,,,
1356,Javier Mascherano,,Base,,,,,,53,2006 Futera Unique,,,,,,,,,
1357,Pablo Aimar,,Base,,,,,,26,2006 Futera Unique,,,,,,,,,
1358,Cafu,,Base,,,,,,3,2006 Futera Unique,,,,,,,,,
1359,Ribery,,Base,,,,,,58,2006 Futera Unique,,,,,,,,,
1360,Riquelme,45,Foil,,,,,,45,2006 Panini World Cup Soccer,,A6,N,,,Y,,Riquelme #45 Foil 2006 Panini World Cup Soccer,
1361,Alan Shearer,,Base,,,,,,MS9,2004 Futera Unique,,,,,,,,,
1362,Lothar Matthaus,,Base,,,,,,MS7,2004 Futera Unique,,,,,,,,,
1363,Marco Van Basten,,Base,,,,,,MS1,2004 Futera Unique,,,,,,,,,
1364,Romario,,Base,,,,,,MS8,2004 Futera Unique,,,,,,,,,
1365,Gary Lineker,,Base,,,,,,MS5,2004 Futera Unique,,,,,,,,,
1366,Gheorghe Hagi,,Base,,,,,,MS3,2004 Futera Unique,,,,,,,,,
1367,Gabriel Batistuta,,Base,,,,,,MS2,2004 Futera Unique,,,,,,,,,
1368,Jurgen Klinsmann,,Base,,,,,,MS4,2004 Futera Unique,,,,,,,,,
1369,Paulo Maldini,,Base,,,,,,MS6,2004 Futera Unique,,,,,,,,,
1370,Gabriel Batistuta,,Strike Force,/2750,,,,,SF1,2001 Futera Platinum World Stars,,,,,,,,,
